"salary_in_usd_disc","work_year","experience_level","employment_type","job_title","company_location","company_size","remote_ratio"
"mid","2023","3","FT","Data Scientist","North America","2","0%"
"high","2023","3","FT","Data Scientist","North America","2","100%"
"mid","2023","3","FT","Data Scientist","North America","2","100%"
"high","2023","3","FT","Data Analyst","North America","2","0%"
"mid","2023","3","FT","Data Analyst","North America","2","0%"
"high","2023","3","FT","Data Engineer","North America","2","0%"
"high","2023","3","FT","Data Engineer","North America","2","0%"
"low","2023","2","FT","Data Analyst","North America","2","0%"
"low","2023","2","FT","Data Analyst","North America","2","0%"
"mid","2022","2","FT","Data Scientist","North America","3","100%"
"low","2021","1","FT","Data Engineer","Asia","3","50%"
"low","2023","3","FT","Data Scientist","Europe","3","50%"
"high","2023","3","FT","Data Scientist","North America","2","100%"
"mid","2023","3","FT","Data Scientist","North America","2","100%"
"high","2023","3","FT","Data Scientist","North America","2","100%"
"mid","2023","3","FT","Data Scientist","North America","2","100%"
"high","2023","3","FT","Data Engineer","North America","2","0%"
"mid","2023","3","FT","Data Engineer","North America","2","0%"
"mid","2023","3","FT","Data Analyst","North America","2","100%"
"low","2023","3","FT","Data Analyst","North America","2","100%"
"mid","2023","3","FT","Data Analyst","North America","2","100%"
"low","2023","3","FT","Data Analyst","North America","2","100%"
"high","2023","3","FT","Data Engineer","North America","2","100%"
"low","2023","3","FT","Data Engineer","North America","2","100%"
"mid","2023","3","FT","Data Engineer","North America","2","0%"
"high","2023","3","FT","Data Scientist","North America","2","100%"
"mid","2023","3","FT","Data Scientist","North America","2","100%"
"low","2023","1","FT","Data Analyst","North America","1","100%"
"high","2023","2","FT","Data Scientist","North America","2","0%"
"high","2023","2","FT","Data Scientist","North America","2","0%"
"high","2023","3","FT","Data Analyst","North America","2","0%"
"low","2023","3","FT","Data Analyst","North America","2","0%"
"high","2023","2","FT","Data Analyst","North America","2","0%"
"mid","2023","2","FT","Data Analyst","North America","2","0%"
"high","2023","3","FT","Data Engineer","North America","2","100%"
"high","2023","3","FT","Data Engineer","North America","2","100%"
"high","2023","3","FT","Data Engineer","North America","2","100%"
"mid","2023","3","FT","Data Engineer","North America","2","100%"
"mid","2023","3","FT","Data Engineer","North America","2","100%"
"low","2023","3","FT","Data Engineer","North America","2","100%"
"high","2023","3","FT","Data Engineer","North America","3","0%"
"mid","2023","3","FT","Data Engineer","North America","3","0%"
"mid","2023","3","FT","Data Engineer","North America","2","100%"
"low","2023","3","FT","Data Engineer","North America","2","100%"
"mid","2023","1","FT","Data Scientist","North America","2","0%"
"low","2023","1","FT","Data Scientist","North America","2","0%"
"low","2023","2","FT","Data Analyst","North America","2","0%"
"low","2023","2","FT","Data Analyst","North America","2","0%"
"low","2022","3","FT","Data Engineer","Europe","3","50%"
"low","2023","2","FT","Data Engineer","Europe","1","0%"
"high","2023","3","FT","Data Scientist","North America","2","100%"
"high","2023","3","FT","Data Scientist","North America","2","100%"
"high","2023","3","FT","Data Scientist","North America","2","100%"
"high","2023","3","FT","Data Scientist","North America","2","100%"
"mid","2023","3","FT","Data Analyst","North America","2","100%"
"mid","2023","3","FT","Data Analyst","North America","2","100%"
"high","2023","3","FT","Data Engineer","North America","2","0%"
"mid","2023","3","FT","Data Engineer","North America","2","0%"
"high","2023","3","FT","Data Engineer","North America","2","0%"
"mid","2023","3","FT","Data Engineer","North America","2","0%"
"mid","2023","3","FT","Data Analyst","North America","2","0%"
"low","2023","3","FT","Data Analyst","North America","2","0%"
"mid","2023","3","FT","Data Scientist","North America","2","0%"
"mid","2023","3","FT","Data Scientist","North America","2","0%"
"low","2023","3","FT","Data Engineer","North America","2","100%"
"low","2023","3","FT","Data Engineer","North America","2","100%"
"high","2023","3","FT","Data Engineer","North America","2","0%"
"mid","2023","3","FT","Data Engineer","North America","2","0%"
"high","2023","3","FT","Data Engineer","North America","2","100%"
"low","2023","3","FT","Data Engineer","North America","2","100%"
"mid","2023","2","FT","Data Engineer","North America","2","0%"
"low","2023","2","FT","Data Engineer","North America","2","0%"
"high","2023","3","FT","Data Engineer","North America","2","0%"
"mid","2023","3","FT","Data Engineer","North America","2","0%"
"mid","2023","3","FT","Data Engineer","North America","2","100%"
"mid","2023","3","FT","Data Engineer","North America","2","100%"
"high","2023","2","FT","Data Engineer","North America","2","0%"
"high","2023","2","FT","Data Engineer","North America","2","0%"
"mid","2023","3","FT","Data Scientist","North America","2","100%"
"low","2023","3","FT","Data Scientist","North America","2","100%"
"low","2023","2","FT","Data Analyst","North America","2","0%"
"low","2023","2","FT","Data Analyst","North America","2","0%"
"low","2023","3","FT","Data Scientist","North America","2","100%"
"low","2023","3","FT","Data Scientist","North America","2","100%"
"mid","2023","3","FT","Data Analyst","North America","2","0%"
"low","2023","3","FT","Data Analyst","North America","2","0%"
"low","2023","2","FT","Data Analyst","North America","2","0%"
"low","2023","2","FT","Data Analyst","North America","2","0%"
"high","2023","3","FT","Data Engineer","North America","2","0%"
"mid","2023","3","FT","Data Engineer","North America","2","0%"
"low","2022","1","FT","Data Analyst","North America","3","50%"
"mid","2023","1","FT","Data Engineer","Europe","1","50%"
"mid","2023","3","FT","Data Engineer","North America","2","0%"
"low","2023","3","FT","Data Engineer","North America","2","0%"
"high","2023","3","FT","Data Engineer","North America","2","0%"
"mid","2023","3","FT","Data Engineer","North America","2","0%"
"mid","2023","2","FT","Data Analyst","North America","2","0%"
"low","2023","2","FT","Data Analyst","North America","2","0%"
"high","2023","3","FT","Data Engineer","North America","2","0%"
"mid","2023","3","FT","Data Engineer","North America","2","0%"
"high","2023","3","FT","Data Scientist","North America","2","0%"
"high","2023","3","FT","Data Scientist","North America","2","0%"
"high","2023","3","FT","Data Engineer","North America","2","100%"
"mid","2023","3","FT","Data Engineer","North America","2","100%"
"mid","2023","2","FT","Data Engineer","North America","2","0%"
"mid","2023","2","FT","Data Engineer","North America","2","0%"
"high","2023","3","FT","Data Scientist","North America","2","0%"
"mid","2023","3","FT","Data Scientist","North America","2","0%"
"high","2023","3","FT","Data Engineer","North America","1","100%"
"low","2023","2","FT","Data Scientist","Africa","1","100%"
"low","2023","1","FT","Data Analyst","Europe","3","50%"
"low","2022","1","FT","Data Engineer","Europe","1","0%"
"high","2023","3","FT","Data Scientist","North America","2","0%"
"mid","2023","3","FT","Data Scientist","North America","2","0%"
"low","2023","3","FT","Data Scientist","Europe","2","0%"
"low","2023","3","FT","Data Scientist","Europe","2","0%"
"high","2023","3","FT","Data Engineer","North America","3","0%"
"low","2023","3","FT","Data Engineer","North America","3","0%"
"mid","2023","3","FT","Data Analyst","North America","2","100%"
"low","2023","3","FT","Data Analyst","North America","2","100%"
"high","2023","3","FT","Data Scientist","North America","2","0%"
"high","2023","3","FT","Data Scientist","North America","2","0%"
"mid","2023","3","FT","Data Scientist","North America","2","0%"
"low","2023","2","FT","Data Scientist","Europe","3","50%"
"low","2023","3","FT","Data Analyst","Europe","2","0%"
"low","2023","3","FT","Data Analyst","Europe","2","0%"
"low","2023","3","FT","Data Analyst","Europe","2","0%"
"low","2023","3","FT","Data Analyst","Europe","2","0%"
"mid","2023","1","FT","Data Engineer","North America","2","0%"
"mid","2023","1","FT","Data Engineer","North America","2","0%"
"mid","2023","2","FT","Data Engineer","North America","2","100%"
"low","2023","2","FT","Data Engineer","North America","2","100%"
"high","2023","3","FT","Data Engineer","North America","2","100%"
"low","2023","3","FT","Data Engineer","North America","2","100%"
"high","2023","3","FT","Data Scientist","North America","2","100%"
"mid","2023","3","FT","Data Scientist","North America","2","100%"
"mid","2023","3","FT","Data Scientist","North America","2","100%"
"low","2023","3","FT","Data Scientist","North America","2","100%"
"mid","2023","2","FT","Data Analyst","North America","2","100%"
"low","2023","2","FT","Data Analyst","North America","2","100%"
"high","2023","3","FT","Data Engineer","North America","2","0%"
"mid","2023","3","FT","Data Engineer","North America","2","0%"
"high","2023","2","FT","Data Scientist","North America","2","0%"
"high","2023","2","FT","Data Scientist","North America","2","0%"
"mid","2023","3","FT","Data Analyst","North America","2","100%"
"low","2023","3","FT","Data Analyst","North America","2","100%"
"high","2023","3","FT","Data Scientist","North America","2","0%"
"high","2023","3","FT","Data Scientist","North America","2","0%"
"high","2023","3","FT","Data Engineer","North America","2","0%"
"mid","2023","3","FT","Data Engineer","North America","2","0%"
"mid","2023","3","FT","Data Scientist","North America","2","0%"
"low","2023","3","FT","Data Scientist","North America","2","0%"
"high","2023","3","FT","Data Scientist","North America","2","0%"
"mid","2023","3","FT","Data Scientist","North America","2","0%"
"mid","2023","3","FT","Data Engineer","North America","2","0%"
"mid","2023","3","FT","Data Scientist","North America","2","0%"
"mid","2023","3","FT","Data Scientist","North America","2","0%"
"high","2023","3","FT","Data Scientist","North America","2","0%"
"mid","2023","3","FT","Data Scientist","North America","2","0%"
"mid","2023","3","FT","Data Engineer","North America","2","0%"
"low","2023","3","FT","Data Engineer","North America","2","0%"
"low","2023","3","FT","Data Engineer","Europe","2","0%"
"low","2023","3","FT","Data Engineer","Europe","2","0%"
"high","2023","4","FT","Data Scientist","North America","2","0%"
"mid","2023","2","FT","Data Analyst","North America","2","0%"
"low","2023","2","FT","Data Analyst","North America","2","0%"
"high","2023","3","FT","Data Engineer","North America","2","0%"
"mid","2023","3","FT","Data Engineer","North America","2","0%"
"low","2022","2","FT","Data Scientist","North America","3","100%"
"mid","2023","3","FT","Data Scientist","North America","2","100%"
"low","2023","3","FT","Data Scientist","North America","2","100%"
"high","2023","3","FT","Data Scientist","North America","2","100%"
"mid","2023","3","FT","Data Scientist","North America","2","100%"
"low","2023","2","FT","Data Analyst","Europe","2","0%"
"low","2023","2","FT","Data Analyst","Europe","2","0%"
"mid","2023","2","FT","Data Engineer","North America","2","0%"
"low","2023","2","FT","Data Engineer","North America","2","0%"
"mid","2023","3","FT","Data Scientist","North America","2","0%"
"mid","2023","3","FT","Data Scientist","North America","2","0%"
"high","2023","3","FT","Data Scientist","North America","2","0%"
"mid","2023","3","FT","Data Scientist","North America","2","0%"
"high","2023","3","FT","Data Scientist","North America","2","100%"
"high","2023","3","FT","Data Scientist","North America","2","100%"
"high","2023","3","FT","Data Engineer","North America","2","0%"
"mid","2023","3","FT","Data Engineer","North America","2","0%"
"mid","2023","2","FT","Data Engineer","North America","2","0%"
"low","2023","2","FT","Data Engineer","North America","2","0%"
"low","2023","1","FT","Data Scientist","North America","2","100%"
"high","2023","3","FT","Data Engineer","North America","2","100%"
"high","2023","3","FT","Data Engineer","North America","2","100%"
"high","2023","3","FT","Data Scientist","North America","2","0%"
"high","2023","3","FT","Data Scientist","North America","2","0%"
"high","2023","3","FT","Data Scientist","North America","2","0%"
"mid","2023","3","FT","Data Scientist","North America","2","0%"
